Ma_Benh,Ten_Benh,Nhom_Benh
E10,Bệnh đái tháo đường típ 1,Đái tháo đường
E10.0,"Bệnh đái tháo đường típ 
1, kèm hôn mê",Đái tháo đường
E10.1,"Bệnh đái tháo đường típ 
1, kèm nhiễm toan ceton",Đái tháo đường
E10.2,"Bệnh đái tháo đường típ 
1, kèm biến chứng thận",Đái tháo đường
E10.3,"Bệnh đái tháo đường típ 
1, kèm biến chứng mắt",Đái tháo đường
E10.4,"Bệnh đái tháo đường típ 
1, kèm biến chứng thần 
kinh",Đái tháo đường
E10.5,"Bệnh đái tháo đường típ 
1, kèm biến chứng mạch 
máu ngoại vi",Đái tháo đường
E10.6,"Bệnh đái tháo đường típ 
1, kèm biến chứng xác 
định khác",Đái tháo đường
E10.7,"Bệnh đái tháo đường típ 
1, kèm đa biến chứng",Đái tháo đường
E10.8,"Bệnh đái tháo đường típ 
1, kèm biến chứng không 
xác định",Đái tháo đường
E10.9,"Bệnh đái tháo đường típ 
1, không kèm biến chứng",Đái tháo đường
E11,Bệnh đái tháo đường típ 2,Đái tháo đường
E11.0,"Bệnh đái tháo đường típ 
2, kèm hôn mê",Đái tháo đường
E11.1,"Bệnh đái tháo đường típ 
2, kèm nhiễm toan ceton",Đái tháo đường
E11.2,"Bệnh đái tháo đường típ 
2, kèm biến chứng thận",Đái tháo đường
E11.3,"Bệnh đái tháo đường típ 
2, kèm biến chứng mắt",Đái tháo đường
E11.4,"Bệnh đái tháo đường típ 
2, kèm biến chứng thần 
kinh",Đái tháo đường
E11.5,"Bệnh đái tháo đường típ 
2, kèm biến chứng mạch 
máu ngoại vi",Đái tháo đường
E11.6,"Bệnh đái tháo đường típ 
2, kèm biến chứng xác 
định khác",Đái tháo đường
E11.7,"Bệnh đái tháo đường típ 
2, kèm đa biến chứng",Đái tháo đường
E11.8,"Bệnh đái tháo đường típ 
2, kèm biến chứng không 
xác định",Đái tháo đường
E11.9,"Bệnh đái tháo đường típ 
2, không kèm biến chứng",Đái tháo đường
E12,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng",Đái tháo đường
E12.0,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng, 
kèm hôn mê",Đái tháo đường
E12.1,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng, 
kèm nhiễm toan ceton",Đái tháo đường
E12.2,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng, 
kèm biến chứng thận",Đái tháo đường
E12.3,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng, 
kèm biến chứng mắt",Đái tháo đường
E12.4,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng, 
kèm biến chứng thần kinh",Đái tháo đường
E12.5,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng, 
kèm biến chứng mạch máu 
ngoại vi",Đái tháo đường
E12.6,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng, 
kèm biến chứng xác định 
khác",Đái tháo đường
E12.7,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng, 
kèm đa biến chứng",Đái tháo đường
E12.8,"Bệnh đái tháo đường liên 
quan đến suy dinh dưỡng, 
kèm biến chứng không xác 
định",Đái tháo đường
