node_index,node_id,node_type,node_name,node_description,node_source,icd10_full,icd10_3char
0,E10,Disease,Bệnh đái tháo đường típ 1,Danh sách bệnh mạn tính,custom_csv,E10,E10
1,E10.0,Disease,"Bệnh đái tháo đường típ 1, kèm hôn mê",Danh sách bệnh mạn tính,custom_csv,E10.0,E10
2,E10.1,Disease,"Bệnh đái tháo đường típ 1, kèm nhiễm toan ceton",Danh sách bệnh mạn tính,custom_csv,E10.1,E10
3,E10.2,Disease,"Bệnh đái tháo đường típ 1, kèm biến chứng thận",Danh sách bệnh mạn tính,custom_csv,E10.2,E10
4,E10.3,Disease,"Bệnh đái tháo đường típ 1, kèm biến chứng mắt",Danh sách bệnh mạn tính,custom_csv,E10.3,E10
5,E10.4,Disease,"Bệnh đái tháo đường típ 1, kèm biến chứng thần kinh",Danh sách bệnh mạn tính,custom_csv,E10.4,E10
6,E10.5,Disease,"Bệnh đái tháo đường típ 1, kèm biến chứng mạch máu ngoại vi",Danh sách bệnh mạn tính,custom_csv,E10.5,E10
7,E10.6,Disease,"Bệnh đái tháo đường típ 1, kèm biến chứng xác định khác",Danh sách bệnh mạn tính,custom_csv,E10.6,E10
8,E10.7,Disease,"Bệnh đái tháo đường típ 1, kèm đa biến chứng",Danh sách bệnh mạn tính,custom_csv,E10.7,E10
9,E10.8,Disease,"Bệnh đái tháo đường típ 1, kèm biến chứng không xác định",Danh sách bệnh mạn tính,custom_csv,E10.8,E10
10,E10.9,Disease,"Bệnh đái tháo đường típ 1, không kèm biến chứng",Danh sách bệnh mạn tính,custom_csv,E10.9,E10
11,E11,Disease,Bệnh đái tháo đường típ 2,Danh sách bệnh mạn tính,custom_csv,E11,E11
12,E11.0,Disease,"Bệnh đái tháo đường típ 2, kèm hôn mê",Danh sách bệnh mạn tính,custom_csv,E11.0,E11
13,E11.1,Disease,"Bệnh đái tháo đường típ 2, kèm nhiễm toan ceton",Danh sách bệnh mạn tính,custom_csv,E11.1,E11
14,E11.2,Disease,"Bệnh đái tháo đường típ 2, kèm biến chứng thận",Danh sách bệnh mạn tính,custom_csv,E11.2,E11
15,E11.3,Disease,"Bệnh đái tháo đường típ 2, kèm biến chứng mắt",Danh sách bệnh mạn tính,custom_csv,E11.3,E11
16,E11.4,Disease,"Bệnh đái tháo đường típ 2, kèm biến chứng thần kinh",Danh sách bệnh mạn tính,custom_csv,E11.4,E11
17,E11.5,Disease,"Bệnh đái tháo đường típ 2, kèm biến chứng mạch máu ngoại vi",Danh sách bệnh mạn tính,custom_csv,E11.5,E11
18,E11.6,Disease,"Bệnh đái tháo đường típ 2, kèm biến chứng xác định khác",Danh sách bệnh mạn tính,custom_csv,E11.6,E11
19,E11.7,Disease,"Bệnh đái tháo đường típ 2, kèm đa biến chứng",Danh sách bệnh mạn tính,custom_csv,E11.7,E11
20,E11.8,Disease,"Bệnh đái tháo đường típ 2, kèm biến chứng không xác định",Danh sách bệnh mạn tính,custom_csv,E11.8,E11
21,E11.9,Disease,"Bệnh đái tháo đường típ 2, không kèm biến chứng",Danh sách bệnh mạn tính,custom_csv,E11.9,E11
22,E12,Disease,Bệnh đái tháo đường liên quan đến suy dinh dưỡng,Danh sách bệnh mạn tính,custom_csv,E12,E12
23,E12.0,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, kèm hôn mê",Danh sách bệnh mạn tính,custom_csv,E12.0,E12
24,E12.1,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, kèm nhiễm toan ceton",Danh sách bệnh mạn tính,custom_csv,E12.1,E12
25,E12.2,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, kèm biến chứng thận",Danh sách bệnh mạn tính,custom_csv,E12.2,E12
26,E12.3,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, kèm biến chứng mắt",Danh sách bệnh mạn tính,custom_csv,E12.3,E12
27,E12.4,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, kèm biến chứng thần kinh",Danh sách bệnh mạn tính,custom_csv,E12.4,E12
28,E12.5,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, kèm biến chứng mạch máu ngoại vi",Danh sách bệnh mạn tính,custom_csv,E12.5,E12
29,E12.6,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, kèm biến chứng xác định khác",Danh sách bệnh mạn tính,custom_csv,E12.6,E12
30,E12.7,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, kèm đa biến chứng",Danh sách bệnh mạn tính,custom_csv,E12.7,E12
31,E12.8,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, kèm biến chứng không xác định",Danh sách bệnh mạn tính,custom_csv,E12.8,E12
32,E12.9,Disease,"Bệnh đái tháo đường liên quan đến suy dinh dưỡng, không kèm biến chứng",Danh sách bệnh mạn tính,custom_csv,E12.9,E12
33,E13,Disease,Bệnh đái tháo đường xác định khác,Danh sách bệnh mạn tính,custom_csv,E13,E13
34,E13.0,Disease,"Bệnh đái tháo đường xác định khác, kèm hôn mê",Danh sách bệnh mạn tính,custom_csv,E13.0,E13
35,E13.1,Disease,"Bệnh đái tháo đường xác định khác, kèm nhiễm toan ceton",Danh sách bệnh mạn tính,custom_csv,E13.1,E13
36,E13.2,Disease,"Bệnh đái tháo đường xác định khác, kèm biến chứng thận",Danh sách bệnh mạn tính,custom_csv,E13.2,E13
37,E13.3,Disease,"Bệnh đái tháo đường xác định khác, kèm biến chứng mắt",Danh sách bệnh mạn tính,custom_csv,E13.3,E13
38,E13.4,Disease,"Bệnh đái tháo đường xác định khác, kèm biến chứng thần kinh",Danh sách bệnh mạn tính,custom_csv,E13.4,E13
39,E13.5,Disease,"Bệnh đái tháo đường xác định khác, kèm biến chứng mạch máu ngoại vi",Danh sách bệnh mạn tính,custom_csv,E13.5,E13
40,E13.6,Disease,"Bệnh đái tháo đường xác định khác, kèm biến chứng xác định khác",Danh sách bệnh mạn tính,custom_csv,E13.6,E13
41,E13.7,Disease,"Bệnh đái tháo đường xác định khác, kèm đa biến chứng",Danh sách bệnh mạn tính,custom_csv,E13.7,E13
42,E13.8,Disease,"Bệnh đái tháo đường xác định khác, kèm biến chứng không xác định",Danh sách bệnh mạn tính,custom_csv,E13.8,E13
43,E13.9,Disease,"Bệnh đái tháo đường xác định khác, không kèm biến chứng",Danh sách bệnh mạn tính,custom_csv,E13.9,E13
44,E14,Disease,Đái tháo đường không xác định,Danh sách bệnh mạn tính,custom_csv,E14,E14
45,E14.0,Disease,"Đái tháo đường không xác định, kèm hôn mê",Danh sách bệnh mạn tính,custom_csv,E14.0,E14
46,E14.1,Disease,"Đái tháo đường không xác định, kèm nhiễm toan ceton",Danh sách bệnh mạn tính,custom_csv,E14.1,E14
47,E14.2,Disease,"Đái tháo đường không xác định, kèm biến chứng thận",Danh sách bệnh mạn tính,custom_csv,E14.2,E14
48,E14.3,Disease,"Đái tháo đường không xác định, kèm biến chứng mắt",Danh sách bệnh mạn tính,custom_csv,E14.3,E14
49,E14.4,Disease,"Đái tháo đường không xác định, kèm biến chứng thần kinh",Danh sách bệnh mạn tính,custom_csv,E14.4,E14
50,E14.5,Disease,"Đái tháo đường không xác định, kèm biến chứng mạch máu ngoại vi",Danh sách bệnh mạn tính,custom_csv,E14.5,E14
51,E14.6,Disease,"Đái tháo đường không xác định, kèm biến chứng xác định khác",Danh sách bệnh mạn tính,custom_csv,E14.6,E14
52,E14.7,Disease,"Đái tháo đường không xác định, kèm đa biến chứng",Danh sách bệnh mạn tính,custom_csv,E14.7,E14
53,E14.8,Disease,"Đái tháo đường không xác định, kèm biến chứng không xác định",Danh sách bệnh mạn tính,custom_csv,E14.8,E14
54,E14.9,Disease,"Đái tháo đường không xác định, không kèm biến chứng",Danh sách bệnh mạn tính,custom_csv,E14.9,E14
55,I10,Disease,Bệnh tăng huyết áp vô căn (nguyên phát),Danh sách bệnh mạn tính,custom_csv,I10,I10
56,I11,Disease,Bệnh tim do tăng huyết áp,Danh sách bệnh mạn tính,custom_csv,I11,I11
57,I11.0,Disease,Bệnh tim do tăng huyết áp kèm suy tim (xung huyết),Danh sách bệnh mạn tính,custom_csv,I11.0,I11
58,I11.9,Disease,Bệnh tim do tăng huyết áp không kèm suy tim (xung huyết),Danh sách bệnh mạn tính,custom_csv,I11.9,I11
59,I12,Disease,Bệnh thận do tăng huyết áp,Danh sách bệnh mạn tính,custom_csv,I12,I12
60,I12.0,Disease,Bệnh thận do tăng huyết áp có kèm suy thận,Danh sách bệnh mạn tính,custom_csv,I12.0,I12
61,I12.9,Disease,Bệnh thận do tăng huyết áp không kèm suy thận,Danh sách bệnh mạn tính,custom_csv,I12.9,I12
62,I13,Disease,Bệnh tim và bệnh thận do tăng huyết áp,Danh sách bệnh mạn tính,custom_csv,I13,I13
63,I13.0,Disease,Bệnh tim và bệnh thận do tăng huyết áp kèm suy tim (xung huyết),Danh sách bệnh mạn tính,custom_csv,I13.0,I13
64,I13.1,Disease,Bệnh tim và bệnh thận do tăng huyết áp kèm có suy thận,Danh sách bệnh mạn tính,custom_csv,I13.1,I13
65,I13.2,Disease,Bệnh tim và bệnh thận do tăng huyết áp kèm cả suy tim (xung huyết) và suy thận,Danh sách bệnh mạn tính,custom_csv,I13.2,I13
66,I13.9,Disease,"Bệnh tim và bệnh thận do tăng huyết áp, không xác định",Danh sách bệnh mạn tính,custom_csv,I13.9,I13
67,I15,Disease,Tăng huyết áp thứ phát,Danh sách bệnh mạn tính,custom_csv,I15,I15
68,I15.0,Disease,Tăng huyết áp do nguyên nhân mạch thận,Danh sách bệnh mạn tính,custom_csv,I15.0,I15
69,I15.1,Disease,Tăng huyết áp thứ phát do rối loạn thận khác,Danh sách bệnh mạn tính,custom_csv,I15.1,I15
70,I15.2,Disease,Tăng huyết áp thứ phát do rối loạn nội tiết,Danh sách bệnh mạn tính,custom_csv,I15.2,I15
71,I15.8,Disease,Tăng huyết áp thứ phát khác,Danh sách bệnh mạn tính,custom_csv,I15.8,I15
72,I15.9,Disease,"Tăng huyết áp thứ phát, không xác định",Danh sách bệnh mạn tính,custom_csv,I15.9,I15
73,J45,Disease,Hen phế quản [hen suyễn] [hen],Danh sách bệnh mạn tính,custom_csv,J45,J45
74,J45.0,Disease,Hen phế quản [hen suyễn] [hen] chủ yếu do dị ứng,Danh sách bệnh mạn tính,custom_csv,J45.0,J45
75,J45.1,Disease,Hen phế quản [hen suyễn] [hen] không dị ứng,Danh sách bệnh mạn tính,custom_csv,J45.1,J45
76,J45.8,Disease,Hen phế quản [hen suyễn] [hen] hỗn hợp,Danh sách bệnh mạn tính,custom_csv,J45.8,J45
77,J45.9,Disease,"Hen phế quản [hen suyễn] [hen], không xác định",Danh sách bệnh mạn tính,custom_csv,J45.9,J45
78,J46,Disease,Cơn hen phế quản ác tính,Danh sách bệnh mạn tính,custom_csv,J46,J46
